;;;;
;;Solicitação de dados de empregos e empresas do setorde metalurgia, mecânica e material elétrico da região de Chapecó;;
;;Fonte dos dados: RAIS (2019);;
;;Demandante: Cleodete - Simec;;
;;Execução: Observatório Fiesc;;
;;Data: 27/01/2021;;
Município;Setor;Escolaridade;Empregados;
Agrolândia;SERVIÇOS;Fundamental completo;1;
Agrolândia;SERVIÇOS;Fundamental completo;2;
Agrolândia;AGROPECUÁRIA;Fundamental incompleto;17;
Agrolândia;INDÚSTRIA;Fundamental incompleto;333;
Agrolândia;INDÚSTRIA;Fundamental incompleto;3;
Agrolândia;COMÉRCIO;Fundamental incompleto;37;
Agrolândia;TRANSPORTE;Fundamental incompleto;7;
Agrolândia;SERVIÇOS;Fundamental incompleto;10;
Agrolândia;SERVIÇOS;Fundamental incompleto;2;
Agrolândia;SERVIÇOS;Fundamental incompleto;1;
Agrolândia;SERVIÇOS;Fundamental incompleto;1;
Agrolândia;SERVIÇOS;Fundamental incompleto;25;
Agrolândia;SERVIÇOS;Fundamental incompleto;9;
Agrolândia;SERVIÇOS;Fundamental incompleto;8;
Agrolândia;AGROPECUÁRIA;Medio completo;7;
Agrolândia;INDÚSTRIA;Medio completo;927;
Agrolândia;INDÚSTRIA;Medio completo;4;
Agrolândia;INDÚSTRIA;Medio completo;8;
Agrolândia;COMÉRCIO;Medio completo;185;
Agrolândia;TRANSPORTE;Medio completo;25;
Agrolândia;SERVIÇOS;Medio completo;9;
Agrolândia;SERVIÇOS;Medio completo;20;
Agrolândia;SERVIÇOS;Medio completo;1;
Agrolândia;SERVIÇOS;Medio completo;2;
Agrolândia;SERVIÇOS;Medio completo;11;
Agrolândia;SERVIÇOS;Medio completo;16;
Agrolândia;SERVIÇOS;Medio completo;73;
Agrolândia;SERVIÇOS;Medio completo;7;
Agrolândia;SERVIÇOS;Medio completo;25;
Agrolândia;SERVIÇOS;Medio completo;9;
Agrolândia;AGROPECUÁRIA;Medio incompleto;3;
Agrolândia;INDÚSTRIA;Medio incompleto;241;
Agrolândia;INDÚSTRIA;Medio incompleto;2;
Agrolândia;COMÉRCIO;Medio incompleto;61;
Agrolândia;TRANSPORTE;Medio incompleto;4;
Agrolândia;SERVIÇOS;Medio incompleto;3;
Agrolândia;SERVIÇOS;Medio incompleto;7;
Agrolândia;SERVIÇOS;Medio incompleto;1;
Agrolândia;SERVIÇOS;Medio incompleto;1;
Agrolândia;SERVIÇOS;Medio incompleto;6;
Agrolândia;SERVIÇOS;Medio incompleto;1;
Agrolândia;SERVIÇOS;Medio incompleto;1;
Agrolândia;AGROPECUÁRIA;Superior Completo;2;
Agrolândia;INDÚSTRIA;Superior Completo;72;
Agrolândia;INDÚSTRIA;Superior Completo;2;
Agrolândia;COMÉRCIO;Superior Completo;18;
Agrolândia;SERVIÇOS;Superior Completo;2;
Agrolândia;SERVIÇOS;Superior Completo;2;
Agrolândia;SERVIÇOS;Superior Completo;10;
Agrolândia;SERVIÇOS;Superior Completo;13;
Agrolândia;SERVIÇOS;Superior Completo;2;
Agrolândia;SERVIÇOS;Superior Completo;143;
Agrolândia;SERVIÇOS;Superior Completo;2;
Agrolândia;SERVIÇOS;Superior Completo;9;
Agrolândia;SERVIÇOS;Superior Completo;1;
Agrolândia;SERVIÇOS;Superior Completo;11;
Agrolândia;INDÚSTRIA;Superior Incompleto;67;
Agrolândia;INDÚSTRIA;Superior Incompleto;1;
Agrolândia;INDÚSTRIA;Superior Incompleto;2;
Agrolândia;COMÉRCIO;Superior Incompleto;21;
Agrolândia;TRANSPORTE;Superior Incompleto;1;
Agrolândia;SERVIÇOS;Superior Incompleto;1;
Agrolândia;SERVIÇOS;Superior Incompleto;2;
Agrolândia;SERVIÇOS;Superior Incompleto;7;
Agrolândia;SERVIÇOS;Superior Incompleto;2;
