"Município";"COD_SEC";"saldo_202012";"saldo_202102"
"Caibi";"A";3;-1
"Caibi";"C";-16;13
"Caibi";"F";-2;0
"Caibi";"G";-6;7
"Caibi";"H";10;10
"Caibi";"I";NA;0
"Caibi";"J";-1;NA
"Caibi";"K";0;1
"Caibi";"L";NA;-1
"Caibi";"N";1;NA
"Caibi";"P";NA;0
"Caibi";"Q";-1;-1
"Caibi";"S";-4;1
"Calmon";"A";1;0
"Calmon";"C";1;2
"Calmon";"F";-2;-3
"Calmon";"G";-2;-1
"Calmon";"H";0;NA
"Calmon";"I";-1;-1
"Calmon";"J";1;NA
"Camboriú";"A";NA;0
"Camboriú";"B";-1;2
"Camboriú";"C";-2;57
"Camboriú";"E";9;0
"Camboriú";"F";-49;70
"Camboriú";"G";21;42
"Camboriú";"H";11;-8
"Camboriú";"I";10;19
"Camboriú";"J";2;0
"Camboriú";"K";1;-2
"Camboriú";"L";-1;-3
"Camboriú";"M";-1;9
"Camboriú";"N";56;18
"Camboriú";"P";-6;35
"Camboriú";"Q";-1;5
"Camboriú";"R";-7;7
"Camboriú";"S";1;6
"Camboriú";"T";1;NA
"Campo Alegre";"A";NA;-1
"Campo Alegre";"B";-1;-1
"Campo Alegre";"C";59;205
"Campo Alegre";"E";NA;1
"Campo Alegre";"F";-1;2
"Campo Alegre";"G";6;3
"Campo Alegre";"H";2;-2
"Campo Alegre";"I";4;7
"Campo Alegre";"L";NA;1
"Campo Alegre";"M";-4;NA
"Campo Alegre";"N";1;NA
"Campo Alegre";"P";NA;1
"Campo Alegre";"Q";0;-1
"Campo Alegre";"S";-1;1
"Campo Belo do Sul";"A";-7;3
"Campo Belo do Sul";"C";-6;1
"Campo Belo do Sul";"F";NA;-1
"Campo Belo do Sul";"G";-3;2
"Campo Belo do Sul";"H";NA;1
"Campo Belo do Sul";"I";1;2
"Campo Belo do Sul";"K";NA;-1
"Campo Belo do Sul";"Q";NA;0
"Campo Belo do Sul";"R";NA;1
"Campo Belo do Sul";"S";1;1
"Campo Erê";"A";-2;4
"Campo Erê";"C";-27;25
"Campo Erê";"F";-3;-3
"Campo Erê";"G";-2;2
"Campo Erê";"H";-2;-4
