,Município,COD_SEC,saldo_202012,saldo_202102,vice_presidencia
410,Blumenau,A,3.0,-1.0,Vale do Itajaí
411,Blumenau,B,-2.0,,Vale do Itajaí
412,Blumenau,C,-945.0,930.0,Vale do Itajaí
413,Blumenau,D,,1.0,Vale do Itajaí
414,Blumenau,E,9.0,2.0,Vale do Itajaí
415,Blumenau,F,-193.0,70.0,Vale do Itajaí
416,Blumenau,G,-71.0,178.0,Vale do Itajaí
417,Blumenau,H,-3.0,-10.0,Vale do Itajaí
418,Blumenau,I,18.0,465.0,Vale do Itajaí
419,Blumenau,J,6.0,-29.0,Vale do Itajaí
420,Blumenau,K,34.0,82.0,Vale do Itajaí
421,Blumenau,L,-2.0,18.0,Vale do Itajaí
422,Blumenau,M,-46.0,59.0,Vale do Itajaí
423,Blumenau,N,-369.0,74.0,Vale do Itajaí
424,Blumenau,O,-1327.0,1273.0,Vale do Itajaí
425,Blumenau,P,-112.0,216.0,Vale do Itajaí
426,Blumenau,Q,-61.0,48.0,Vale do Itajaí
427,Blumenau,R,-14.0,34.0,Vale do Itajaí
428,Blumenau,S,-8.0,17.0,Vale do Itajaí
429,Blumenau,T,4.0,,Vale do Itajaí
430,Bocaina do Sul,A,,-1.0,Serra Catarinense
431,Bocaina do Sul,C,-7.0,-2.0,Serra Catarinense
432,Bocaina do Sul,F,,-2.0,Serra Catarinense
433,Bocaina do Sul,G,1.0,1.0,Serra Catarinense
434,Bocaina do Sul,I,1.0,1.0,Serra Catarinense
435,Bom Jardim da Serra,A,-24.0,18.0,Serra Catarinense
436,Bom Jardim da Serra,C,,2.0,Serra Catarinense
437,Bom Jardim da Serra,G,1.0,16.0,Serra Catarinense
438,Bom Jardim da Serra,I,1.0,13.0,Serra Catarinense
439,Bom Jardim da Serra,J,2.0,,Serra Catarinense
440,Bom Jesus,A,1.0,2.0,Oeste
441,Bom Jesus,C,-3.0,-1.0,Oeste
442,Bom Jesus,F,-1.0,1.0,Oeste
443,Bom Jesus,G,-2.0,3.0,Oeste
444,Bom Jesus,H,-1.0,1.0,Oeste
445,Bom Jesus,I,-1.0,,Oeste
446,Bom Jesus,M,,0.0,Oeste
447,Bom Jesus,N,-4.0,,Oeste
448,Bom Jesus,Q,-2.0,,Oeste
449,Bom Jesus do Oeste,C,0.0,3.0,Oeste
450,Bom Jesus do Oeste,G,0.0,1.0,Oeste
451,Bom Jesus do Oeste,H,,3.0,Oeste
452,Bom Jesus do Oeste,I,,-1.0,Oeste
453,Bom Retiro,A,-48.0,38.0,Serra Catarinense
454,Bom Retiro,C,3.0,15.0,Serra Catarinense
455,Bom Retiro,G,-8.0,7.0,Serra Catarinense
456,Bom Retiro,H,,-2.0,Serra Catarinense
457,Bom Retiro,I,-1.0,3.0,Serra Catarinense
458,Bom Retiro,J,2.0,,Serra Catarinense
459,Bom Retiro,K,-2.0,,Serra Catarinense
460,Bom Retiro,L,0.0,1.0,Serra Catarinense
461,Bom Retiro,M,2.0,1.0,Serra Catarinense
462,Bom Retiro,N,,2.0,Serra Catarinense
463,Bom Retiro,P,-7.0,16.0,Serra Catarinense
464,Bom Retiro,Q,-2.0,1.0,Serra Catarinense
465,Bom Retiro,S,,-2.0,Serra Catarinense
466,Bombinhas,C,10.0,5.0,Foz do Rio Itajaí
467,Bombinhas,E,-2.0,,Foz do Rio Itajaí
468,Bombinhas,F,-5.0,45.0,Foz do Rio Itajaí
469,Bombinhas,G,224.0,-121.0,Foz do Rio Itajaí
470,Bombinhas,H,4.0,-7.0,Foz do Rio Itajaí
