,Column1,Município,Setor,Porte,Empresas,Empregados,Unnamed: 5,Fonte dos dados: RAIS (2019),vice_presidencia
187,187,Arroio Trinta,AGROPECUÁRIA,Pequena,2,43,0,0,Centro-Norte
188,188,Arroio Trinta,COMÉRCIO,Micro,50,103,0,0,Centro-Norte
189,189,Arroio Trinta,INDÚSTRIA,Micro,32,144,0,0,Centro-Norte
190,190,Arroio Trinta,INDÚSTRIA,Pequena,4,129,0,0,Centro-Norte
191,191,Arroio Trinta,SERVIÇOS,Grande,1,108,0,0,Centro-Norte
192,192,Arroio Trinta,SERVIÇOS,Micro,38,93,0,0,Centro-Norte
193,193,Arroio Trinta,SERVIÇOS,Pequena,2,48,0,0,Centro-Norte
194,194,Arroio Trinta,TRANSPORTE,Micro,33,55,0,0,Centro-Norte
195,195,Arroio Trinta,TRANSPORTE,Pequena,1,14,0,0,Centro-Norte
196,196,Arvoredo,AGROPECUÁRIA,Grande,2,230,0,0,Alto Uruguai Catarinense
197,197,Arvoredo,AGROPECUÁRIA,Micro,6,10,0,0,Alto Uruguai Catarinense
198,198,Arvoredo,AGROPECUÁRIA,Média,2,136,0,0,Alto Uruguai Catarinense
199,199,Arvoredo,COMÉRCIO,Micro,17,42,0,0,Alto Uruguai Catarinense
200,200,Arvoredo,COMÉRCIO,Pequena,1,14,0,0,Alto Uruguai Catarinense
201,201,Arvoredo,INDÚSTRIA,Micro,9,38,0,0,Alto Uruguai Catarinense
202,202,Arvoredo,INDÚSTRIA,Pequena,1,27,0,0,Alto Uruguai Catarinense
203,203,Arvoredo,SERVIÇOS,Grande,1,155,0,0,Alto Uruguai Catarinense
204,204,Arvoredo,SERVIÇOS,Micro,14,30,0,0,Alto Uruguai Catarinense
205,205,Arvoredo,SERVIÇOS,Média,1,114,0,0,Alto Uruguai Catarinense
206,206,Arvoredo,TRANSPORTE,Micro,7,9,0,0,Alto Uruguai Catarinense
207,207,Arvoredo,TRANSPORTE,Pequena,1,37,0,0,Alto Uruguai Catarinense
208,208,Ascurra,AGROPECUÁRIA,Micro,8,18,0,0,Vale do Itajaí
209,209,Ascurra,COMÉRCIO,Micro,72,150,0,0,Vale do Itajaí
210,210,Ascurra,COMÉRCIO,Média,1,81,0,0,Vale do Itajaí
211,211,Ascurra,COMÉRCIO,Pequena,9,176,0,0,Vale do Itajaí
212,212,Ascurra,INDÚSTRIA,Micro,102,433,0,0,Vale do Itajaí
213,213,Ascurra,INDÚSTRIA,Pequena,20,884,0,0,Vale do Itajaí
214,214,Ascurra,SERVIÇOS,Grande,1,267,0,0,Vale do Itajaí
215,215,Ascurra,SERVIÇOS,Micro,53,135,0,0,Vale do Itajaí
216,216,Ascurra,SERVIÇOS,Pequena,4,110,0,0,Vale do Itajaí
217,217,Ascurra,TRANSPORTE,Micro,9,15,0,0,Vale do Itajaí
218,218,Ascurra,TRANSPORTE,Pequena,2,51,0,0,Vale do Itajaí
219,219,Atalanta,AGROPECUÁRIA,Micro,4,4,0,0,Alto Vale do Itajaí
220,220,Atalanta,AGROPECUÁRIA,Pequena,1,19,0,0,Alto Vale do Itajaí
221,221,Atalanta,COMÉRCIO,Micro,33,71,0,0,Alto Vale do Itajaí
222,222,Atalanta,COMÉRCIO,Pequena,2,24,0,0,Alto Vale do Itajaí
223,223,Atalanta,INDÚSTRIA,Micro,17,79,0,0,Alto Vale do Itajaí
224,224,Atalanta,INDÚSTRIA,Pequena,3,95,0,0,Alto Vale do Itajaí
225,225,Atalanta,SERVIÇOS,Grande,1,142,0,0,Alto Vale do Itajaí
226,226,Atalanta,SERVIÇOS,Micro,16,31,0,0,Alto Vale do Itajaí
227,227,Atalanta,SERVIÇOS,Pequena,1,21,0,0,Alto Vale do Itajaí
228,228,Atalanta,TRANSPORTE,Micro,4,9,0,0,Alto Vale do Itajaí
229,229,Aurora,AGROPECUÁRIA,Micro,9,5,0,0,Alto Vale do Itajaí
230,230,Aurora,COMÉRCIO,Micro,40,93,0,0,Alto Vale do Itajaí
231,231,Aurora,COMÉRCIO,Pequena,6,93,0,0,Alto Vale do Itajaí
232,232,Aurora,INDÚSTRIA,Micro,28,136,0,0,Alto Vale do Itajaí
233,233,Aurora,INDÚSTRIA,Média,1,124,0,0,Alto Vale do Itajaí
234,234,Aurora,INDÚSTRIA,Pequena,7,293,0,0,Alto Vale do Itajaí
235,235,Aurora,SERVIÇOS,Grande,1,172,0,0,Alto Vale do Itajaí
236,236,Aurora,SERVIÇOS,Micro,24,46,0,0,Alto Vale do Itajaí
237,237,Aurora,SERVIÇOS,Pequena,1,20,0,0,Alto Vale do Itajaí
238,238,Aurora,TRANSPORTE,Micro,16,16,0,0,Alto Vale do Itajaí
239,239,Aurora,TRANSPORTE,Média,2,157,0,0,Alto Vale do Itajaí
240,240,Aurora,TRANSPORTE,Pequena,7,86,0,0,Alto Vale do Itajaí
