,Município,pib,pib_per_capita,populacaoFonte dos dados: IBGE (2018),vice_presidencia
103,Guaramirim,R$ 1695622000,38693.396011136,43822,Vale do Itapocu
104,Guarujá do Sul,R$ 153776000,29911.6903326201,5141,Extremo Oeste
105,Guatambú,R$ 226280000,48042.4628450106,4710,Oeste
106,Herval D'Oeste,R$ 476453000,21180.3956434763,22495,
107,Ibiam,R$ 53460000,27289.4333843798,1959,Centro-Oeste
108,Ibicaré,R$ 99572000,30855.9033157732,3227,Centro-Oeste
109,Ibirama,R$ 444096000,23619.6149345814,18802,Alto Vale do Itajaí
110,Içara,R$ 2336748000,42042.2086684299,55581,Sul
111,Ilhota,R$ 708734000,50605.7836486969,14005,Foz do Rio Itajaí
112,Imaruí,R$ 196345000,19014.6232810382,10326,Litoral Sul
113,Imbituba,R$ 1773195000,39926.0335044583,44412,Litoral Sul
114,Imbuia,R$ 178459000,29003.5754916301,6153,Vale do Itajaí Mirim
115,Indaial,R$ 2589757000,38127.835931864,67923,Vale do Itajaí
116,Iomerê,R$ 124805000,42639.221045439,2927,Centro-Norte
117,Ipira,R$ 84685000,18877.6192599197,4486,Alto Uruguai Catarinense
118,Iporã do Oeste,R$ 254541000,28456.2325321409,8945,Extremo Oeste
119,Ipuaçu,R$ 223186000,29965.8968850698,7448,Oeste
120,Ipumirim,R$ 332211000,43914.2101784534,7565,Alto Uruguai Catarinense
121,Iraceminha,R$ 98133000,24441.5940224159,4015,Oeste
122,Irani,R$ 238410000,23059.2900667376,10339,Alto Uruguai Catarinense
123,Irati,R$ 37201000,19057.8893442623,1952,Oeste
124,Irineópolis,R$ 347397000,31142.7162707306,11155,Centro-Norte
125,Itá,R$ 265046000,42687.389273635,6209,Alto Uruguai Catarinense
126,Itaiópolis,R$ 749484000,34769.1593987753,21556,Planalto Norte
127,Itajaí,R$ 25413432000,117711.998888349,215895,Foz do Rio Itajaí
128,Itapema,R$ 1872017000,29597.1067193676,63250,Foz do Rio Itajaí
129,Itapiranga,R$ 773554000,46220.9608030593,16736,Extremo Oeste
130,Itapoá,R$ 793233000,39735.1600460853,19963,Norte-Nordeste
131,Ituporanga,R$ 933730000,37632.1940996292,24812,Alto Vale do Itajaí
132,Jaborá,R$ 126922000,32091.5297092288,3955,Alto Uruguai Catarinense
133,Jacinto Machado,R$ 331496000,31700.8702304676,10457,Sul
134,Jaguaruna,R$ 469914000,23787.0918754746,19755,Litoral Sul
135,Jaraguá do Sul,R$ 8995686000,51652.4420353931,174158,Vale do Itapocu
